,nameFirst,nameFull,nameLast
0,Hank,Hank Aaron,Aaron
1,Tommie,Tommie Aaron,Aaron
2,Don,Don Aase,Aase
3,Andy,Andy Abad,Abad
4,John,John Abadie,Abadie
5,Ed,Ed Abbaticchio,Abbaticchio
6,Bert,Bert Abbey,Abbey
7,Charlie,Charlie Abbey,Abbey
8,Dan,Dan Abbott,Abbott
9,Fred,Fred Abbott,Abbott
10,Glenn,Glenn Abbott,Abbott
11,Jeff,Jeff Abbott,Abbott
12,Jim,Jim Abbott,Abbott
13,Kurt,Kurt Abbott,Abbott
14,Kyle,Kyle Abbott,Abbott
15,Ody,Ody Abbott,Abbott
16,Paul,Paul Abbott,Abbott
17,Al,Al Aber,Aber
18,Francis,Francis Abercrombie,Abercrombie
19,Bill,Bill Abernathie,Abernathie
20,Brent,Brent Abernathy,Abernathy
21,Tal,Tal Abernathy,Abernathy
22,Ted,Ted Abernathy,Abernathy
23,Woody,Woody Abernathy,Abernathy
24,Cliff,Cliff Aberson,Aberson
25,Harry,Harry Ables,Ables
26,Shawn,Shawn Abner,Abner
27,Cal,Cal Abrams,Abrams
28,George,George Abrams,Abrams
29,Johnny,Johnny Abrego,Abrego
30,Bobby,Bobby Abreu,Abreu
31,Joe,Joe Abreu,Abreu
32,Bill,Bill Abstein,Abstein
33,Jose,Jose Acevedo,Acevedo
34,Juan,Juan Acevedo,Acevedo
35,Jim,Jim Acker,Acker
36,Tom,Tom Acker,Acker
37,Fritz,Fritz Ackley,Ackley
38,Cy,Cy Acosta,Acosta
39,Ed,Ed Acosta,Acosta
40,Jose,Jose Acosta,Acosta
41,Merito,Merito Acosta,Acosta
42,Mark,Mark Acre,Acre
43,Bill,Bill Adair,Adair
44,Jerry,Jerry Adair,Adair
45,Jimmy,Jimmy Adair,Adair
46,Ace,Ace Adams,Adams
47,Babe,Babe Adams,Adams
48,Bert,Bert Adams,Adams
49,Bob,Bob Adams,Adams
50,Bob,Bob Adams,Adams
51,Bob,Bob Adams,Adams
52,Bobby,Bobby Adams,Adams
53,Buster,Buster Adams,Adams
54,Dan,Dan Adams,Adams
